year,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,US
1960,6800,112809,48104,36181,270161,16914,17406,155,4982,35680,96016,292,15884,77688,33020,24556,4123,50751,38992,53354,38447,59784,59100,34957,41442,46565,69936,127507,11880,13425,25629,20514,7373,22110,189314,36966,17766,190489,66100,2951,81969,13974,138708,50155,5494,69706,17339,428129,64968,23464,8174,2928205
1961,7313,118021,51144,35083,248178,15464,17076,163,5101,34417,94590,258,15713,70403,32237,24199,3855,48648,37174,52769,35723,56575,55209,32478,45068,45532,76550,120692,15420,12832,23327,20749,6937,19545,250832,36414,20187,188915,61121,3011,76284,13609,136653,52023,4591,66456,15369,455762,60619,23666,8273,2952227
1962,7453,125564,47637,34533,329046,17144,15937,166,5134,35826,96771,214,15580,73984,32864,24089,3670,51423,36785,53590,36002,55672,53745,34382,40239,44673,74894,127402,14054,12973,25119,21199,6791,21733,277979,36983,16660,197646,61767,3139,73455,17252,145125,47721,6192,67678,15682,476680,61695,23755,11746,3117444
1963,7793,112682,41897,34861,360333,17410,16253,148,5356,38613,103171,446,13403,73227,34418,24007,3798,47591,39147,52762,35457,58874,51374,32328,33299,39154,70429,116481,15915,13199,24450,23397,6469,19804,260059,38172,10640,199225,60798,3221,69832,31784,127030,42718,5699,64267,13995,514264,55114,21029,10641,3096431
1964,8102,137992,42732,34271,331757,17865,16703,138,5510,39016,118296,1429,12798,76892,34491,23168,3674,47022,39291,54148,37440,55936,52769,33210,31229,38448,79375,131745,20014,12801,23707,23947,6300,17842,247409,38010,11373,215793,60590,3533,87558,33645,141564,43884,10151,63580,13500,557343,54980,21666,10613,3225249
1965,8519,121888,46425,50095,418518,16369,15500,120,5577,39916,108022,1265,15160,79778,35036,23060,3499,47438,38299,55636,39019,51675,55858,34786,35404,37759,95505,123608,26438,13563,22019,23693,6075,17544,262743,38720,16230,230410,61262,3561,77346,41595,138006,48967,11501,63439,14396,581530,61690,20560,10793,3395816
1966,8328,121238,51697,58060,375877,17380,16243,111,5852,42760,109456,1309,14994,81379,37080,24315,3529,49311,39754,58117,42103,55812,56828,35031,33010,37816,90332,114335,20421,13955,24343,23570,6210,19632,288582,41531,13064,232649,63676,3771,67699,51565,128629,51980,10173,64055,15557,617245,60892,20101,11106,3432463
1967,8457,144384,46124,56423,473192,16908,18072,112,5783,44550,109475,1389,14243,82252,37444,27363,3349,61073,37685,58183,49500,58337,56539,32385,31558,34261,98163,118616,29255,13879,24089,23695,5678,18985,301664,39669,14604,243110,68253,4150,66176,52576,147297,49944,13266,61774,15167,678045,61003,22471,9641,3690213
1968,8486,129673,64986,63456,397366,17248,18657,120,6594,49556,106371,1657,16244,80804,40029,28677,3459,53358,40791,62101,47752,59840,56320,33828,39086,35452,100651,117146,26339,14714,25155,24678,5706,19142,320307,43465,23406,271743,62881,4266,69381,59858,132020,62939,12791,63863,15086,736245,65830,21573,11560,3772655
1969,8455,131856,64813,67840,544918,18181,19701,108,7073,51489,105812,1773,15250,76228,41716,29971,3280,51326,40698,64611,45515,61658,56624,34190,39601,34609,106143,119495,31071,14532,27816,25354,5682,18771,339647,44467,26940,350230,61805,4428,73251,67419,131914,64351,13957,64159,16109,772827,62804,21430,12992,4094893
1970,8835,132471,56933,68919,521978,21329,19293,113,7021,51035,98222,1559,16080,85735,41064,28494,3730,57023,41620,65043,51782,59420,54309,32822,33344,33527,98397,111796,29922,15950,25321,25906,5548,18322,325491,44149,21730,371350,67525,5268,65064,70185,138417,62757,10079,62711,14717,796121,58313,21152,12129,4070021
1971,9094,158182,53579,74136,533790,25526,20206,116,7673,49968,109007,1283,16122,89445,40628,27156,3941,61912,41912,61247,49264,55423,53960,33768,30407,32841,107251,128148,34285,15845,24733,26621,4965,18651,326609,43520,21321,419311,60573,4851,78568,82558,153090,60471,12615,66364,14594,817275,61793,22281,15331,4262212
1972,8673,164946,53917,75189,472312,22935,22712,118,8190,54389,114745,1491,17235,92776,41490,30826,5702,66566,44819,59302,56117,59882,56203,35695,29355,32432,104348,135756,32507,16822,26131,29554,4746,17274,347985,44940,26724,435930,70114,4934,77077,78339,173103,67560,15234,70488,15955,854559,65646,24771,13492,4382009
1973,7844,181706,81723,79348,553162,23623,21870,114,8483,56250,125605,1528,16691,97216,43861,32102,6031,67629,45748,56501,55059,64648,47225,36452,43807,32195,84637,142789,25135,16912,30671,30289,4896,18356,364685,46607,50756,351043,70871,5108,83883,51534,177886,78102,14683,69214,17149,783243,67818,24229,14024,4410938
1974,8329,166734,81339,82058,645073,24207,22509,129,8466,52429,121581,1550,16976,111472,43952,32017,5915,66669,44928,56959,52381,64263,50587,35899,44031,31279,106573,139607,28922,16161,28694,33097,4919,17762,362988,48408,48830,432867,72077,5023,79895,60394,180418,76691,12440,66085,16134,926539,65621,23779,16196,4741851
1975,8608,184701,71589,80897,578578,24728,22237,131,7901,50007,123427,1498,17029,118011,42898,31342,5811,66857,42358,53325,55834,60423,47458,36949,40414,31152,112007,139828,35262,15399,25853,30950,6002,18827,354900,46299,42644,417387,73865,4050,87805,83960,177299,75872,14074,66861,16361,935362,66067,22798,13226,4687119
1976,9201,160994,62300,84428,422852,23636,23862,146,9607,56507,135157,1663,15187,121380,47471,36021,6526,68110,45170,60502,56373,70099,52481,35632,39537,34819,135822,136973,34411,16378,31050,35091,6781,17457,368500,52843,29303,434370,81184,4704,83353,74830,160069,75965,14974,76045,19325,1051188,69570,24758,12547,4727151
1977,11449,174751,69746,75681,338073,23658,24105,158,10161,59953,136122,1355,17088,85968,51314,38768,6852,64140,46692,63357,59569,72689,54719,36725,37981,36230,97331,146565,21338,16136,31271,38510,7328,18381,342161,58582,32743,327769,84322,5295,80884,57133,176225,82566,11709,73803,19373,773465,74518,24320,9937,4208966
1978,10809,148341,77088,79870,576601,29391,26391,193,10667,65357,138170,1143,19287,119334,62925,45814,7540,70514,47825,67677,59254,74889,66270,50237,49657,37576,132188,159172,31963,16096,31004,41662,7989,18980,354864,69632,37416,408647,90536,6577,83872,72806,163042,84175,12093,86397,20504,1002202,90777,27252,12774,5005439
1979,10733,190737,80773,83414,559806,33170,29359,210,8729,69419,149144,1258,18947,113729,64626,51858,7928,82531,44717,74298,66329,76896,73877,53947,55940,37510,119406,191639,28886,16832,33548,43101,9922,19804,368358,74657,46806,387287,106837,7124,91528,67819,207250,89721,13634,95181,22340,900631,92876,33875,13906,5122854
1980,8321,238766,69996,120006,591928,28582,43748,2849,2472,90049,144038,12808,58556,113407,92366,56145,9088,55822,64707,72495,45823,121124,103039,54794,30880,38097,114608,135910,28555,19778,32382,48383,6223,27403,404671,107374,24855,401129,136826,7287,71184,63775,160372,65819,13025,85571,22881,951633,187312,23421,14250,5424534
1981,9216,213355,68248,92583,503653,28752,42958,2312,2006,83698,122747,13585,64176,115694,100323,59181,8483,55159,68263,73207,45447,129795,108871,56622,30527,41070,130992,108282,25970,18113,36078,54426,7731,21800,413896,113023,23880,428803,147662,6649,52308,58639,136647,70516,12388,79270,24825,1074536,196641,22023,12125,5417152
1982,8745,265548,77652,94968,702806,32043,41481,3654,3170,105523,143871,13382,66907,137262,108434,59095,10392,69516,69667,66642,51599,126910,109127,58968,43954,44643,126686,143364,29855,19739,33759,49211,8035,18717,397442,114311,37437,561127,149605,6053,69636,60381,184144,80753,16761,93614,22667,1008174,195454,25803,12243,5980929
1983,9591,282179,95412,175999,811004,35857,48199,2564,2224,94585,151110,14920,72089,152320,126417,67925,10707,65792,74654,78596,52085,140252,122339,62679,44094,45071,135671,149658,28400,21516,38209,60308,9201,47194,435889,132120,39850,574207,167142,7401,75407,61830,189453,78066,21168,95982,26554,1004891,217664,23389,15780,6495612
1984,11152,288127,91646,188831,696738,39837,41112,3226,2927,112695,159451,15372,75557,156188,124741,65106,14676,77261,78816,65032,60086,139329,114761,66022,47136,50468,130479,160144,28819,22853,35004,48816,9926,63057,409565,128420,39885,590530,152019,4946,80276,64092,203068,88645,21829,103631,26036,981713,215483,25619,17199,6438347
1985,11783,248632,109251,171680,594659,43210,40389,3327,3019,114488,146207,15307,75925,132234,130268,69669,14844,73167,79343,65453,55151,136042,114217,68755,62542,50892,120845,137560,27227,24632,33807,49683,10521,49989,415540,131331,57165,529625,148238,5081,66598,60186,166411,96300,18721,101913,26890,917386,217863,25050,14999,6084017
1986,10707,215783,91234,175103,668070,44294,35551,3049,2765,118872,141713,17315,99976,146356,141294,71973,21818,68813,102343,69642,54649,122771,116002,66440,49423,49196,133794,114112,29018,26645,38742,41534,11126,52238,429134,119814,45383,532746,117214,4653,89899,64483,156473,113054,23017,86471,23871,943085,161833,31416,16233,6111140
