State,Coal,,Petroleum,,,,,,,,Biomass,,,Solar j,,,,"Total k,l"
,,,,,,,,,,,,,,,,,Electrical,
,,Natural,,,,,,,,Hydro-,,,,,Electricity,,System,
,,Gas a,,,,,,,,electric,,,Geo-,,Retail,Net,Energy,
,,,,HGL c,Jet Fuel d,Motor,,Other f,Total,power g,Wood and,Losses,thermal,,Sales,"Energy k,l",Losses m,
,,,Distillate,,,Gasoline e,Residual,,,,Waste h,and Co-,,,,,,
,,,Fuel Oil b,,,,Fuel Oil,,,,,products i,,,,,,
Alabama,59.9,327.7,155.6,9.5,14.5,326,7.2,33.7,546.5,0,162.2,(s),0.1,0.2,308.1,"1,404.70",550.1,"1,954.80"
Alaska,6.9,320.9,60.4,1.3,99.4,33.8,(s),22.3,217.2,1.6,7.3,(s),0.2,(s),20.4,574.6,35.2,609.8
Arizona,6.5,104.1,152.3,9.3,24.1,357.6,0,23.4,566.7,0,5.2,2.6,0.3,24.1,267.3,976.9,510.9,"1,487.80"
Arkansas,4.1,211,121.5,8.3,9.5,179.2,0,27.7,346.2,0,73.8,0.1,0.8,0.3,169.2,805.5,314.2,"1,119.70"
California,33.3,"1,573.30",575.3,58.4,684.8,"1,847.80",168.9,332.3,"3,667.50",0.1,64.9,11.3,2.1,137.6,871.3,"6,361.50","1,605.10","7,966.60"
Colorado,3.8,386.6,125.3,17.1,61.3,284,0,34.3,521.9,0.1,13.2,6.5,0.8,5.8,192.6,"1,127.70",385.6,"1,513.30"
Connecticut,0,146.1,106,12.3,10.3,181.2,0.2,14,323.8,0,11.6,(s),(s),5.5,98.4,585.5,167.5,753
Delaware,0,61.8,16.1,4.9,0.7,62.2,0.1,28.1,112,0,0.9,0,0.4,1,40.2,216.4,73.9,290.3
Dist. of Col.,(s),32.6,2.3,(s),0,14.5,0,3.3,20.1,0,0.9,0,(s),0.7,38.8,93.1,81.4,174.5
Florida,12.9,216.2,332.5,19.8,147.3,"1,112.90",88.2,46.3,"1,747.00",0,108.6,(s),10.1,31.6,815.4,"2,941.90","1,339.50","4,281.30"
Georgia,8.4,375.4,218.2,20,19.7,603.1,10.8,46.5,918.3,0.1,185.2,6.2,0.3,2.8,477.2,"1,973.80",902.3,"2,876.10"
Hawaii,0,3.2,17.9,3.7,85.5,55.4,9.2,15.7,187.4,0.3,3.9,(s),(s),11.4,31.9,235,57.9,292.9
Idaho,2.8,91.6,76.5,6.1,6.5,91.5,(s),7.2,187.8,0,34.3,3.1,1.5,0.3,81,402.5,150.7,553.3
Illinois,82.7,998,312.2,74.9,161.6,575.7,0.9,165.8,"1,291.00",(s),12.6,88.2,2,2.2,486.7,"2,951.80","1,060.10","4,011.90"
Indiana,157.4,688,214.3,21.3,62.8,372.9,1.5,97.1,769.9,0,31,60.7,4.6,1,355.6,"2,065.30",772.3,"2,837.60"
Iowa,46.3,419.3,150.4,74.2,5.5,188.3,0.1,16.3,434.8,0,19,215.2,1.3,1.2,174.7,"1,277.50",338.6,"1,616.10"
Kansas,2.5,292.2,128.9,11.3,9.1,155.1,2.2,51.6,358.2,0,7.2,25.3,1,0.3,143.5,830.3,304.2,"1,134.50"
Kentucky,20,238.8,160.7,35.9,81.6,268,0.1,78.5,624.9,0,33.4,1.9,2.7,0.4,261.4,"1,183.40",560.5,"1,743.90"
Louisiana,4,"1,551.80",179.5,487.4,172.4,262.3,25.8,747.3,"1,874.80",0,114.5,0,1.8,2.2,321.4,"3,870.30",532.8,"4,403.20"
Maine,0.5,33.9,71.6,15.1,5.6,78.3,2,5.5,178,1,74.7,(s),0.1,0.7,42.2,331.1,64.1,395.3
Maryland,11.9,212.1,101.7,11.7,11.5,324.6,1,19.3,469.8,0,15.3,0,0.6,7.9,211.8,929.1,432.1,"1,361.20"
Massachusetts,0.1,314.7,155.9,12.7,56.4,335.7,0.9,21.3,582.9,(s),17.8,(s),0.9,19.3,181.8,"1,117.70",340.9,"1,458.60"
Michigan,53.7,744.8,178.9,52,34.9,568.7,5.1,63.3,903,0.1,96.6,18.3,5.2,1.3,357.8,"2,180.70",713.5,"2,894.20"
