"Total energy consumption, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,,,
AK,61433,72173,78812,80788,85067,87782,102696,115172,122533,156631,182039,200962,214377,196965,201488,232172,254649,293489,324010,299774,295745,279661,409057,437627,482889,474429,504252,499211,521398,576192,584082,602660,627237,623613,623042,704062,718749,708741,723206,725331,742061,735745,732909,733471,775019,797723,746457,723227,650500,639557,655575,655820,651177,618287,605257,623778,607570,609681,609786,,,,,,,,,,,,,,,,,,,,,,,,
AL,866594,831311,881239,913155,979212,1044616,1088204,1138573,1246669,1343138,1393497,1384940,1478039,1527209,1547657,1515130,1551806,1623443,1638359,1648767,1644874,1604035,1499050,1445946,1544598,1519675,1504733,1582639,1651726,1683173,1659374,1675029,1742421,1789235,1879952,1955073,1984926,1956297,1997696,2040647,2093922,1898857,1960152,1952741,2065880,2065572,2083658,2086092,2002980,1800096,1942050,1916766,1890289,1933626,1970386,1923945,1929369,1901160,1954823,,,,,,,,,,,,,,,,,,,,,,,,
AR,425974,431586,456788,484672,527123,528740,566110,596737,635396,681052,708904,700736,744634,820083,798333,785659,840830,886292,887040,872687,859238,821800,792462,796587,799005,789513,759564,736170,817720,882855,849198,837103,865939,939962,971500,1023242,1042511,1061415,1081796,1100812,1141593,1096056,1118366,1100644,1091797,1116515,1113117,1128983,1110210,1041617,1126955,1129160,1072816,1104533,1121936,1062299,1054563,1057879,1119701,,,,,,,,,,,,,,,,,,,,,,,,
AZ,282993,304835,324913,348302,369663,375200,403460,414501,456156,498192,520401,554212,616452,670117,676309,660004,691884,738889,747985,786479,754491,787920,746494,758000,802626,843102,852973,865824,906415,943115,950195,955235,985332,1000843,1056612,1095057,1163696,1187416,1240977,1285004,1332442,1341725,1334303,1354531,1404379,1443202,1491843,1498161,1465556,1380048,1383797,1424223,1394326,1411465,1420260,1442275,1473592,1474130,1487797,,,,,,,,,,,,,,,,,,,,,,,,
CA,3449919,3609108,3724117,3923736,4219633,4385719,4645217,4841003,5115122,5356783,5499139,5747656,5872011,6047069,5816324,6032845,6186312,6361466,6472696,6727621,6540472,6332205,6076050,6092316,6533180,6601489,6501121,6938475,7143783,7420327,7439345,7326350,7307644,7138310,7273001,7295592,7405341,7528234,7806353,7801839,7893213,7918527,7963233,7848432,8216696,8151626,8246839,8260684,8075200,7774769,7760747,7768811,7547035,7650033,7584901,7671759,7825522,7889218,7966578,,,,,,,,,,,,,,,,,,,,,,,,
CO,424556,461749,468348,465929,498054,508687,531922,555487,622770,648877,677623,691909,756325,801930,787106,784438,818799,835096,850246,856031,838088,816311,833092,831430,867717,869749,859444,866162,899364,915127,944300,994850,995693,1062928,1065404,1091927,1142176,1138201,1184705,1206092,1268642,1369867,1370535,1372163,1399562,1435704,1451337,1483848,1487459,1465463,1515541,1472721,1441627,1468231,1482820,1490547,1453287,1463470,1513286,,,,,,,,,,,,,,,,,,,,,,,,
CT,507999,518130,536644,545224,563507,569505,609289,624114,648770,667657,693930,682588,717611,743064,714126,689513,742109,748110,768737,755692,728226,695795,696739,688418,715073,723070,739744,763522,795471,811311,775896,776710,810197,795996,800069,782296,820990,811129,791157,834267,844550,829136,815224,894334,907100,875720,819794,842121,774596,766459,767314,740999,725868,749002,752241,756548,724428,726346,753010,,,,,,,,,,,,,,,,,,,,,,,,
DC,119871,118175,120458,121016,132268,159170,169525,182216,181890,195629,205891,199397,188830,193442,171284,163161,164436,163353,160278,152431,153262,149271,163811,162575,167024,165934,174696,174233,174976,180533,185266,191358,191482,198476,193593,196284,193511,191092,186974,191690,198048,193476,197752,193758,201417,200935,186421,194925,184104,186485,190374,183642,172778,174798,179278,178216,174223,166869,174515,,,,,,,,,,,,,,,,,,,,,,,,
DE,156406,150335,161918,172781,173156,184269,192519,187575,206901,219454,219722,222353,232526,246392,228887,218797,229178,227666,226261,244675,242340,195218,186552,197917,220487,214953,217072,227480,234133,241618,251796,255250,261314,266225,261444,262936,273242,274786,272892,286222,305695,292032,308594,303732,289192,299825,287816,293724,291505,259458,250338,272754,273665,274254,274337,277857,273776,270503,290283,,,,,,,,,,,,,,,,,,,,,,,,
FL,809559,848703,949391,994376,1049548,1111530,1180231,1223737,1349462,1453793,1577450,1674133,1804005,1995319,1929045,1939837,2062020,2217477,2327321,2422499,2511917,2482043,2402137,2457345,2551259,2698976,2781956,2870556,3042056,3248530,3289151,3249677,3316472,3346956,3467465,3615069,3700617,3726429,3859240,3922071,4076022,4060590,4177962,4195567,4347431,4419873,4472498,4417304,4264866,4115274,4277455,4129153,4014683,4058797,4096281,4245922,4227859,4211840,4281336,,,,,,,,,,,,,,,,,,,,,,,,
